"filename", "language", "JSON", "HTML", "Ini", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\ALAN\Desktop\LookOut\desktop.ini", "Ini", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\ALAN\Desktop\LookOut\helpers\user\helper-missing-elderly.js", "JavaScript", 0, 0, 0, 25, 0, 5, 11, 41
"c:\Users\ALAN\Desktop\LookOut\helpers\user\helper-missing-kid.js", "JavaScript", 0, 0, 0, 29, 0, 5, 11, 45
"c:\Users\ALAN\Desktop\LookOut\helpers\user\helper-missing-pets.js", "JavaScript", 0, 0, 0, 25, 0, 5, 11, 41
"c:\Users\ALAN\Desktop\LookOut\models\missing-elderly-post.js", "JavaScript", 0, 0, 0, 41, 0, 0, 4, 45
"c:\Users\ALAN\Desktop\LookOut\models\missing-kids-post.js", "JavaScript", 0, 0, 0, 48, 0, 0, 3, 51
"c:\Users\ALAN\Desktop\LookOut\models\missing-pets-post.js", "JavaScript", 0, 0, 0, 40, 0, 0, 4, 44
"c:\Users\ALAN\Desktop\LookOut\package-lock.json", "JSON", 1475, 0, 0, 0, 0, 0, 1, 1476
"c:\Users\ALAN\Desktop\LookOut\package.json", "JSON", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ALAN\Desktop\LookOut\public\css\LookOut.css", "CSS", 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\ALAN\Desktop\LookOut\routes\user\home.js", "JavaScript", 0, 0, 0, 14, 0, 0, 10, 24
"c:\Users\ALAN\Desktop\LookOut\routes\user\router-elderly.js", "JavaScript", 0, 0, 0, 47, 0, 2, 8, 57
"c:\Users\ALAN\Desktop\LookOut\routes\user\router-pets.js", "JavaScript", 0, 0, 0, 47, 0, 2, 8, 57
"c:\Users\ALAN\Desktop\LookOut\routes\user\user-kids.js", "JavaScript", 0, 0, 0, 47, 0, 2, 8, 57
"c:\Users\ALAN\Desktop\LookOut\server.js", "JavaScript", 0, 0, 0, 28, 0, 5, 32, 65
"c:\Users\ALAN\Desktop\LookOut\testfiles\login.html", "HTML", 0, 163, 0, 0, 0, 0, 11, 174
"c:\Users\ALAN\Desktop\LookOut\testfiles\missingpagedetails.html", "HTML", 0, 226, 0, 0, 0, 0, 22, 248
"c:\Users\ALAN\Desktop\LookOut\testfiles\missingpersonadd.html", "HTML", 0, 223, 0, 0, 0, 0, 25, 248
"c:\Users\ALAN\Desktop\LookOut\testfiles\signup.html", "HTML", 0, 163, 0, 0, 0, 0, 18, 181
"c:\Users\ALAN\Desktop\LookOut\views\user\elderly\missingelderly.ejs", "HTML", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\ALAN\Desktop\LookOut\views\user\elderly\missingelderlydisplay.ejs", "HTML", 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\ALAN\Desktop\LookOut\views\user\elderly\newmissingelderlypost.ejs", "HTML", 0, 29, 0, 0, 0, 0, 8, 37
"c:\Users\ALAN\Desktop\LookOut\views\user\home.ejs", "HTML", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\ALAN\Desktop\LookOut\views\user\kids\missingkiddisplay.ejs", "HTML", 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\ALAN\Desktop\LookOut\views\user\kids\missingkids.ejs", "HTML", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\ALAN\Desktop\LookOut\views\user\kids\newmissingkidpost.ejs", "HTML", 0, 225, 0, 0, 0, 0, 27, 252
"c:\Users\ALAN\Desktop\LookOut\views\user\layout\layout.ejs", "HTML", 0, 23, 0, 0, 0, 2, 9, 34
"c:\Users\ALAN\Desktop\LookOut\views\user\login.ejs", "HTML", 0, 154, 0, 0, 0, 0, 14, 168
"c:\Users\ALAN\Desktop\LookOut\views\user\partials\footer.ejs", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ALAN\Desktop\LookOut\views\user\partials\header.ejs", "HTML", 0, 46, 0, 0, 0, 0, 3, 49
"c:\Users\ALAN\Desktop\LookOut\views\user\pets\missingpets.ejs", "HTML", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\ALAN\Desktop\LookOut\views\user\pets\missingpetsdisplay.ejs", "HTML", 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\ALAN\Desktop\LookOut\views\user\pets\newmissingpetspost.ejs", "HTML", 0, 29, 0, 0, 0, 0, 16, 45
"c:\Users\ALAN\Desktop\LookOut\views\user\signup.ejs", "HTML", 0, 180, 0, 0, 0, 0, 21, 201
"Total", "-", 1498, 1679, 6, 391, 6, 28, 315, 3923
